Progress,Duration (in seconds),Finished,Q3,Q2,Q48,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q31_1,Q31_7,Q31_2,Q31_8,Q31_5,Q31_3,Q31_9,Q31_4,Q31_6,Q31_10,Q31_11,Q31_12,Q31_13
Progress,Duration (in seconds),Finished,Are you aged 18 or older?,Please check any of the following that best describe you:,How many years have you been flying drones?,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,In your opinion should the system approve or deny access?,How important were the following factors in each of your decisions? - The pilot's experience and/or history,"How important were the following factors in each of your decisions? - The drone's type, model, and/or history",How important were the following factors in each of your decisions? - The current conditions (air and/or ground),How important were the following factors in each of your decisions? - The details about the flight itself,"Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The pilot's experience flying in similar weather conditions","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The pilot's experience flying in similar environments (e.g., around buildings, congested airspace)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - Number and severity of reported incidents the pilot has (e.g. crashes, rule violations)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The time elapsed SINCE any pilot related incidents (e.g., not following a rule)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The drone's physical characteristics (e.g., size, speed) and physical features (e.g., onboard parachute)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The drone's history including its reported incidents, repairs and/or regular maintenance","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The drone's capabilities (e.g., detect and avoid, awareness of other aircraft)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - Current air traffic in the area","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - Current ground conditions in the area (e.g., traffic, obstacles)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - Current weather conditions in the area (e.g., wind, heat)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The complexity of the planned flight (e.g., inspecting utility poles vs. flying in an open area)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The characteristics of the planned flight (e.g., BVLOS, flying near people)","Now that you have provided feedback on the profiles, please use your mouse to order the list of factors according to their general importance in your decisions. - The planning for the current flight (e.g., simulations, risk assessments)"
Progress,Duration (secs),,Age 18?,Pilot Description,Years flying,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,Approve/Deny,Pilot Experience,Drone History,Current Conditions,Flight Details,P. Weather Exp.,P. Environ. Exp.,P. Crash Hist.,P. Time Since Incident,D. Features,D. History,D. Capabilities,Air Traffic,Ground Cond.,Weather Cond.,Flight Complex.,Flight Char.,Flight Plan.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,129,1,1,3,2,1,1,2,3,4,,,,,,,,,,,2,1,2,3,4,3,1,3,2,2,,,,,,,,,,,2,1,2,3,4,2,1,2,3,4,62,19,16,13,19,14,34,34,30,27,25,21,20
100,254,1,1,2,1,,,,,,,,,,,2,5,4,4,4,1,4,5,4,4,1,5,4,4,4,,,,,,1,5,4,5,4,,,,,,1,4,4,5,5,80,80,59,35,60,68,73,79,75,83,81,65,75
100,1505,1,1,2,1,2,5,4,5,5,2,2,5,1,5,3,3,5,5,5,,,,,,,,,,,2,3,5,3,4,,,,,,2,1,5,4,3,,,,,,60,60,40,50,100,100,80,80,100,100,70,100,51
100,108,1,1,2,9,2,1,2,3,5,2,1,2,3,4,,,,,,2,3,1,3,4,1,1,2,3,4,3,1,3,4,5,,,,,,,,,,,,,,,,75,63,59,67,67,67,66,62,63,60,61,57,58
100,1295,1,1,5,0,1,3,4,4,3,,,,,,,,,,,,,,,,1,3,3,4,3,1,4,4,4,3,,,,,,1,1,1,4,5,1,4,4,4,4,91,50,97,66,93,94,94,52,56,72,52,54,93
100,259,1,1,"1,2",10,,,,,,2,1,5,2,5,,,,,,1,1,5,3,5,1,4,4,3,4,,,,,,,,,,,1,5,4,1,5,1,5,1,1,5,49,51,3,3,51,3,19,74,75,3,3,86,100
100,759,1,1,2,2,2,4,4,5,5,,,,,,1,3,3,4,4,2,4,1,5,3,,,,,,2,1,1,4,5,2,1,1,5,4,,,,,,,,,,,72,54,18,37,12,8,59,30,77,93,79,73,18
